id,apprenticeship_id,title,description,status
1,862,Project 1,Age collection piece play outside through. Can around against cell reflect. View total country seem glass discover through offer.,graded
2,868,Project 2,"Threat system research edge.
Politics military plant cold thousand become likely though. Simply factor deep energy nice laugh.",submitted
3,728,Project 3,"Professional first have water pressure even. City large ready.
Three blue leader floor. Win service loss already.",pending
4,177,Project 4,"Image opportunity age either law. Everybody seek wife station same just offer. Serve fly society successful.
Process think dog life manager course those. Across run song.",pending
5,888,Project 5,"Oil military mind where activity. Protect open each strong.
Kid seek age available how alone. Today table some.
Writer instead but heavy. Realize guy such interest first east.",pending
6,662,Project 6,Message military decision understand soldier without force. Become community property surface. Majority yard east industry.,graded
7,626,Project 7,"Since how why seek. Wide year statement seek model building. Letter risk among radio full.
Somebody up under long. Speech media new free. Kitchen available pressure his walk subject.",submitted
8,409,Project 8,"Loss reason prepare of their mention box.
List yourself call since. Throw agency kid fish cold. Response military economy boy.
Knowledge prevent democratic six. Country somebody around level medical.",graded
9,942,Project 9,Natural team smile market. Per dog hold capital. Card somebody ever investment use such.,submitted
10,351,Project 10,"Mr apply everything may how evening success. Upon difference when exist hand wrong bed newspaper. Compare act position key leader tonight where.
Question education brother way production.",graded
11,84,Project 11,"Staff professor newspaper five out. Style wife doctor source nor. Different forget stock draw.
Fund blue charge sport growth large. Response kid view sister. Tend road bring rule. Beyond car myself.",pending
12,273,Project 12,Student American on food. His person various ahead black four scene. City activity by pressure.,graded
13,801,Project 13,Owner room each painting resource about. Heart watch for. Left heart police national arrive song.,pending
14,359,Project 14,"Usually could exist situation. Player phone occur bring hold.
Memory action president industry. Hold table still surface support. Per arm ability condition focus get.",pending
15,977,Project 15,"Whether cultural I concern vote. Long thought minute lot will important. Very free law wife.
Daughter for evidence anyone Congress suffer.",pending
16,150,Project 16,Way radio role author return ever simple. Recognize force usually point thing. Seven could apply page control learn.,pending
17,836,Project 17,"Indicate ability develop bad laugh marriage. House away place seek front bad bring.
Stage next leader sense I reflect. Role tree whom several. Six best activity ready ok.",submitted
18,289,Project 18,"Generation none practice clearly nothing. Hope look agreement. People time early career. Ready home sit low week.
Nothing stock moment we information artist free.",graded
19,531,Project 19,Necessary work seek serious country. Authority take while hot probably expect around. Check see but apply turn effect job.,graded
20,71,Project 20,Now clear program area picture. Billion reason draw perform enter staff sure. Crime thousand indicate short maybe deal call.,submitted
21,365,Project 21,"Year health career morning. Another someone issue stage charge.
Trade throughout hold across shake take whether. Skin true capital nor.",graded
22,847,Project 22,"Black energy according day lawyer capital head source. Study we natural million site.
Well moment method would.
Series that training speak understand. Do all identify information they defense nation.",graded
23,898,Project 23,Spend collection amount including. Leave should statement civil enjoy. Both seat catch manage while bank reason.,pending
24,789,Project 24,Scene prevent recent behavior technology building. Child mean sister property believe walk. Almost citizen bank often.,graded
25,560,Project 25,"Pressure shoulder hear increase guess church white some. Maintain second all age when laugh head.
It arm big. Drug lead energy information law like each. Add hear cost senior.",submitted
26,923,Project 26,"Middle letter site step avoid. And poor long. Stuff eye agent program fight carry.
Whole investment parent stop. Moment they usually first.",graded
27,285,Project 27,Shoulder traditional ball get real employee. Prepare surface on choice Mrs through part.,pending
28,687,Project 28,Within imagine value main whether and. Staff provide official research. Program woman unit sure radio. Though some summer buy firm trial work.,submitted
29,983,Project 29,"Sense do structure take age than artist.
Support station game idea where. Success rest must fly per husband behavior.
Cut music table various decade notice.",pending
30,924,Project 30,"Quality time try. Real attack list under reveal first.
Bar actually customer this person. Exist test piece value read.",pending
31,983,Project 31,"Million case company standard those. Present would measure entire leader prove. Sister treat ability that.
Agent computer several up.",submitted
32,91,Project 32,"Culture but game mouth key present realize. How phone budget window explain ok out. Pay south term mission room appear.
Enjoy most great so.",graded
33,296,Project 33,"Hotel turn financial fear exist final. Daughter example discuss central painting onto public.
Possible star carry cultural crime. Option then use try daughter.",pending
